brand_query,scraped_at,started_on,ad_text,media_type,message_theme,source_url,mosaic_brand,competitor_brand
Traya Health,2026-03-05T11:34:00Z,18-01-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T11:35:00Z,20-01-2026,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T11:36:00Z,22-01-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T11:37:00Z,24-01-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T11:38:00Z,26-01-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T11:39:00Z,28-01-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T11:40:00Z,30-01-2026,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T11:41:00Z,01-02-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T11:42:00Z,03-02-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T11:43:00Z,05-02-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T11:44:00Z,07-02-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T11:45:00Z,09-02-2026,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T11:46:00Z,11-02-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T11:47:00Z,13-02-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T11:48:00Z,15-02-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T11:49:00Z,17-02-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T11:50:00Z,01-11-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T11:51:00Z,03-11-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T11:52:00Z,05-11-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T11:53:00Z,07-11-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T11:54:00Z,09-11-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T11:55:00Z,11-11-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T11:56:00Z,13-11-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T11:57:00Z,15-11-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T11:58:00Z,17-11-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T11:59:00Z,19-11-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T12:00:00Z,21-11-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T12:01:00Z,23-11-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T12:02:00Z,25-11-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T12:03:00Z,27-11-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T12:04:00Z,29-11-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T12:05:00Z,01-12-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T12:06:00Z,03-12-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T12:07:00Z,05-12-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T12:08:00Z,07-12-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T12:09:00Z,09-12-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T12:10:00Z,11-12-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T12:11:00Z,13-12-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T12:12:00Z,15-12-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T12:13:00Z,17-12-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T12:14:00Z,19-12-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T12:15:00Z,21-12-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T12:16:00Z,23-12-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T12:17:00Z,25-12-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T12:18:00Z,27-12-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T12:19:00Z,29-12-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T12:20:00Z,31-12-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T12:21:00Z,02-01-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T12:22:00Z,04-01-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T12:23:00Z,06-01-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T12:24:00Z,08-01-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
